split_id,fold,case_id,challenge_split,source_split,assigned_split,site,scanner,scanner_code,group_id,seed,reason,created_at
WMH2017-KFOLD-SEED42,0,100,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,100,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,101,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,101,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,102,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,102,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,103,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,103,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,104,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,104,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,105,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,105,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,106,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,106,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,107,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,107,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,108,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,108,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,109,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,109,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,110,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,110,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,112,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,112,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,113,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,113,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,114,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,114,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,115,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,115,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,116,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,116,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,126,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,126,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,132,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,132,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,137,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,137,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,144,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,144,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,0,50,training,training,train,Singapore,3T Siemens TrioTim,singapore_siemens_triotim_3t,50,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
