split_id,fold,case_id,challenge_split,source_split,assigned_split,site,scanner,scanner_code,group_id,seed,reason,created_at
WMH2017-KFOLD-SEED42,1,100,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,100,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,101,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,101,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,102,training,training,val,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,102,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,103,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,103,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,104,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,104,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,105,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,105,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,106,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,106,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,107,training,training,val,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,107,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,108,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,108,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,109,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,109,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
WMH2017-KFOLD-SEED42,1,110,training,training,train,Amsterdam,3T GE Signa HDxt,amsterdam_ge_signa_hdxt_3t,110,42,challenge_training_site_stratified_kfold,2026-06-21T13:34:08.173399+00:00
